Id,y
10000,-66.00242
10001,451.4065
10002,-461.67642
10003,40.50121
10004,-126.74472
10005,-342.53455
10006,-396.55554
10007,335.54128
10008,-99.51242
10009,304.81254
10010,68.89453
10011,412.3692
10012,54.94237
10013,-17.00555
10014,-597.84996
10015,443.50229
10016,144.77449
10017,-57.41116
10018,134.38783
10019,-108.98378
10020,153.82483
10021,611.73598
10022,588.38965
10023,-131.0168
10024,-61.13562
10025,-374.2485
10026,74.15799
10027,137.43838
10028,420.08661
10029,196.76563
10030,268.44285
10031,638.47491
10032,127.37873
10033,1.34912
10034,22.71045
10035,342.23953
10036,307.70397
10037,348.13821
10038,-168.65286
10039,-20.22113
10040,-551.74993
10041,-429.9718
10042,261.89196
10043,389.82043
10044,-96.16562
10045,-210.7108
10046,278.88187
10047,-427.4533
10048,-172.90325
10049,467.26438
10050,-631.55874
10051,-355.53166
10052,143.17328
10053,69.1992
10054,275.58827
10055,-263.18861
10056,167.49831
10057,104.5779
10058,230.07009
10059,20.98803
10060,-4.82258
10061,-201.92294
10062,560.06393
10063,55.28848
10064,671.30157
10065,-493.74874
10066,-279.35304
10067,-53.71253
10068,379.6982
10069,315.07141
10070,169.13002
10071,-271.5993
10072,783.80222
10073,44.57731
10074,57.40678
10075,-161.07827
10076,-220.66958
10077,223.24129
10078,352.6656
10079,13.16329
10080,-461.99415
10081,305.37215
10082,-230.59656
10083,359.07444
10084,-430.26056
10085,-115.54882
10086,-88.96006
10087,-488.29019
10088,-139.35034
10089,57.33881
10090,-190.33624
10091,-6.50809
10092,189.29108
10093,346.60368
10094,871.62732
10095,-147.01354
10096,443.48994
10097,-30.49843
10098,185.46346
10099,-119.91717
10100,43.57524
10101,58.31857
10102,-197.15247
10103,-70.47161
10104,-342.84605
10105,-29.23359
10106,49.52293
10107,-16.24614
10108,33.77507
10109,-68.88308
10110,25.8634
10111,-617.31428
10112,-185.90441
10113,323.78311
10114,-35.6622
10115,-733.52977
10116,-240.73856
10117,-381.97315
10118,75.31994
10119,36.61033
10120,-28.75627
10121,-481.16063
10122,408.85023
10123,-765.02175
10124,178.0727
10125,-7.64988
10126,134.79685
10127,-477.45851
10128,-248.70625
10129,-361.88466
10130,-18.75561
10131,7.7956
10132,-109.10599
10133,-63.07375
10134,591.82318
10135,259.61263
10136,-279.86583
10137,93.22536
10138,-427.28732
10139,84.38657
10140,-311.54463
10141,11.41927
10142,-297.83147
10143,-331.92897
10144,656.01323
10145,-476.66268
10146,361.19405
10147,-150.18527
10148,299.94672
10149,-191.72143
10150,151.95
10151,-64.67276
10152,351.24486
10153,-370.63645
10154,349.22498
10155,273.52461
10156,783.19718
10157,-124.23789
10158,-155.22004
10159,-506.95565
10160,201.69321
10161,-415.17406
10162,-348.16511
10163,-201.95224
10164,-658.95045
10165,179.3464
10166,124.06926
10167,-209.15025
10168,213.70513
10169,-82.11721
10170,-97.11027
10171,124.26801
10172,50.28992
10173,538.74396
10174,630.01753
10175,217.25928
10176,-491.73374
10177,-131.14175
10178,362.39302
10179,-14.36304
10180,-30.26176
10181,-107.32358
10182,-334.06259
10183,299.5064
10184,-103.47221
10185,179.8205
10186,122.20071
10187,86.58037
10188,386.48256
10189,-613.36117
10190,-269.81639
10191,260.73145
10192,-44.62016
10193,-159.15718
10194,-145.2456
10195,447.22821
10196,476.35699
10197,121.79421
10198,-1.53568
10199,410.7441
10200,90.8281
10201,150.07337
10202,24.03365
10203,273.88663
10204,-154.52926
10205,42.5889
10206,617.34171
10207,38.93936
10208,-91.4361
10209,225.35327
10210,151.05828
10211,-86.91665
10212,-101.71789
10213,161.93777
10214,357.87041
10215,32.14598
10216,-379.1454
10217,-165.94213
10218,257.45392
10219,-124.83851
10220,47.08451
10221,-67.05065
10222,287.17334
10223,836.26743
10224,-78.73329
10225,-293.00923
10226,284.91633
10227,377.95143
