Id,y
10000,-66.002
10001,451.407
10002,-461.676
10003,40.501
10004,-126.745
10005,-342.535
10006,-396.556
10007,335.541
10008,-99.512
10009,304.813
10010,68.895
10011,412.369
10012,54.942
10013,-17.006
10014,-597.85
10015,443.502
10016,144.774
10017,-57.411
10018,134.388
10019,-108.984
10020,153.825
10021,611.736
10022,588.39
10023,-131.017
10024,-61.136
10025,-374.248
10026,74.158
10027,137.438
10028,420.087
10029,196.766
10030,268.443
10031,638.475
10032,127.379
10033,1.349
10034,22.71
10035,342.24
10036,307.704
10037,348.138
10038,-168.653
10039,-20.221
10040,-551.75
10041,-429.972
10042,261.892
10043,389.82
10044,-96.166
10045,-210.711
10046,278.882
10047,-427.453
10048,-172.903
10049,467.264
10050,-631.559
10051,-355.532
10052,143.173
10053,69.199
10054,275.588
10055,-263.189
10056,167.498
10057,104.578
10058,230.07
10059,20.988
10060,-4.823
10061,-201.923
10062,560.064
10063,55.288
10064,671.302
10065,-493.749
10066,-279.353
10067,-53.713
10068,379.698
10069,315.071
10070,169.13
10071,-271.599
10072,783.802
10073,44.577
10074,57.407
10075,-161.078
10076,-220.67
10077,223.241
10078,352.666
10079,13.163
10080,-461.994
10081,305.372
10082,-230.597
10083,359.074
10084,-430.261
10085,-115.549
10086,-88.96
10087,-488.29
10088,-139.35
10089,57.339
10090,-190.336
10091,-6.508
10092,189.291
10093,346.604
10094,871.627
10095,-147.014
10096,443.49
10097,-30.498
10098,185.463
10099,-119.917
10100,43.575
10101,58.319
10102,-197.152
10103,-70.472
10104,-342.846
10105,-29.234
10106,49.523
10107,-16.246
10108,33.775
10109,-68.883
10110,25.863
10111,-617.314
10112,-185.904
10113,323.783
10114,-35.662
10115,-733.53
10116,-240.739
10117,-381.973
10118,75.32
10119,36.61
10120,-28.756
10121,-481.161
10122,408.85
10123,-765.022
10124,178.073
10125,-7.65
10126,134.797
10127,-477.459
10128,-248.706
10129,-361.885
10130,-18.756
10131,7.796
10132,-109.106
10133,-63.074
10134,591.823
10135,259.613
10136,-279.866
10137,93.225
10138,-427.287
10139,84.387
10140,-311.545
10141,11.419
10142,-297.831
10143,-331.929
10144,656.013
10145,-476.663
10146,361.194
10147,-150.185
10148,299.947
10149,-191.721
10150,151.95
10151,-64.673
10152,351.245
10153,-370.636
10154,349.225
10155,273.525
10156,783.197
10157,-124.238
10158,-155.22
10159,-506.956
10160,201.693
10161,-415.174
10162,-348.165
10163,-201.952
10164,-658.95
10165,179.346
10166,124.069
10167,-209.15
10168,213.705
10169,-82.117
10170,-97.11
10171,124.268
10172,50.29
10173,538.744
10174,630.018
10175,217.259
10176,-491.734
10177,-131.142
10178,362.393
10179,-14.363
10180,-30.262
10181,-107.324
10182,-334.063
10183,299.506
10184,-103.472
10185,179.82
10186,122.201
10187,86.58
10188,386.483
10189,-613.361
10190,-269.816
10191,260.731
10192,-44.62
10193,-159.157
10194,-145.246
10195,447.228
10196,476.357
10197,121.794
10198,-1.536
10199,410.744
10200,90.828
10201,150.073
10202,24.034
10203,273.887
10204,-154.529
10205,42.589
10206,617.342
10207,38.939
10208,-91.436
10209,225.353
10210,151.058
10211,-86.917
10212,-101.718
10213,161.938
10214,357.87
10215,32.146
10216,-379.145
10217,-165.942
10218,257.454
10219,-124.839
10220,47.085
10221,-67.051
10222,287.173
10223,836.267
10224,-78.733
10225,-293.009
10226,284.916
10227,377.951
10228,-473.943
10229,-538.809
10230,-372.905
10231,-83.377
10232,157.462
10233,167.503
10234,-105.69
10235,561.162
10236,-149.355
10237,196.967
10238,-33.82
10239,5.199
10240,-121.708
10241,53.474
10242,531.292
10243,-157.603
10244,-183.772
10245,643.832
10246,17.78
10247,-92.079
10248,485.493
10249,-221.237
10250,490.607
10251,-43.677
10252,139.933
10253,207.504
10254,17.093
10255,-396.472
10256,-168.302
10257,-75.593
10258,-292.074
10259,-59.374
10260,247.369
10261,206.831
10262,17.462
10263,-181.811
10264,300.176
10265,-567.639
10266,311.593
10267,-9.93
10268,161.408
10269,272.386
10270,55.122
10271,-15.278
10272,286.402
10273,387.889
10274,-148.579
10275,171.952
10276,-411.571
10277,213.803
10278,133.93
10279,-99.017
10280,-162.417
10281,-39.074
10282,-295.158
10283,141.325
10284,163.06
10285,-55.455
10286,-145.741
10287,16.35
10288,-364.299
10289,558.663
10290,40.051
10291,67.637
10292,559.84
10293,469.807
10294,-149.5
10295,-328.823
10296,425.771
10297,85.505
10298,-166.916
10299,-662.298
10300,50.28
10301,-11.356
10302,-451.811
10303,78.673
10304,-386.819
10305,-273.227
10306,352.015
10307,-263.848
10308,-214.73
10309,-84.881
10310,745.883
10311,-418.975
10312,739.199
10313,-469.077
10314,481.83
10315,363.208
10316,-270.253
10317,-399.592
10318,234.457
10319,-38.735
10320,238.369
10321,28.697
10322,238.231
10323,-130.007
10324,-681.295
10325,61.581
10326,-444.93
10327,-14.713
10328,680.477
10329,288.733
10330,839.97
10331,416.657
10332,167.356
10333,-86.78
10334,332.77
10335,-201.334
10336,-43.625
10337,-107.902
10338,-284.036
10339,232.609
10340,237.833
10341,74.4
10342,255.518
10343,-168.65
10344,68.563
10345,-365.442
10346,189.706
10347,-369.833
10348,-250.9
10349,76.314
10350,-344.946
10351,-187.423
10352,482.17
10353,125.753
10354,450.692
10355,216.176
10356,34.342
10357,57.511
10358,-211.419
10359,49.762
10360,76.111
10361,-29.196
10362,33.049
10363,364.563
10364,234.483
10365,-21.797
10366,-476.938
10367,43.568
10368,-310.957
10369,-46.941
10370,181.196
10371,-214.962
10372,-80.227
10373,841.208
10374,102.357
10375,37.298
10376,77.398
10377,435.795
10378,111.395
10379,-128.829
10380,573.05
10381,48.602
10382,-68.554
10383,56.682
10384,-360.31
10385,131.902
10386,-264.526
10387,-378.793
10388,-190.099
10389,862.915
10390,159.576
10391,514.02
10392,61.388
10393,720.876
10394,-450.977
10395,105.894
10396,-27.533
